PC4,December 2017_hybrid,December 2018_hybrid,December 2019_hybrid,December 2020_hybrid,December 2021_hybrid,December 2022_hybrid
1011,43.0,39.0,49.0,36.0,69.0,187.0
1012,35.0,35.0,36.0,40.0,3273.0,8136.0
1013,79.0,76.0,79.0,93.0,122.0,154.0
1014,70.0,61.0,56.0,51.0,62.0,82.0
1015,45.0,47.0,59.0,75.0,92.0,109.0
1016,42.0,55.0,56.0,80.0,105.0,131.0
1017,88.0,99.0,103.0,135.0,175.0,214.0
1018,41.0,53.0,59.0,78.0,108.0,135.0
1019,58.0,59.0,71.0,81.0,127.0,165.0
1020,,,,,,
1021,20.0,16.0,18.0,21.0,19.0,27.0
1022,5.0,5.0,11.0,18.0,27.0,39.0
1023,11.0,13.0,17.0,20.0,27.0,21.0
1024,7.0,9.0,13.0,22.0,36.0,51.0
1025,16.0,21.0,23.0,33.0,52.0,48.0
1026,2.0,2.0,3.0,7.0,8.0,14.0
1027,3.0,3.0,4.0,5.0,4.0,7.0
1028,2.0,2.0,4.0,6.0,11.0,13.0
1030,,,,,,
1031,19.0,20.0,19.0,33.0,47.0,52.0
1032,15.0,12.0,10.0,18.0,27.0,32.0
1033,341.0,251.0,185.0,116.0,77.0,76.0
1034,15.0,18.0,25.0,38.0,60.0,75.0
1035,20.0,23.0,25.0,37.0,56.0,67.0
1036,2.0,2.0,5.0,6.0,16.0,19.0
1037,2.0,2.0,2.0,2.0,3.0,5.0
1040,,,,,,
1041,4.0,6.0,4.0,6.0,7.0,6.0
1042,28.0,23.0,23.0,16.0,8.0,11.0
1043,151.0,137.0,119.0,64.0,54.0,76.0
1044,2.0,6.0,4.0,1.0,2.0,2.0
1045,7.0,9.0,4.0,4.0,5.0,7.0
1046,22.0,22.0,20.0,27.0,38.0,35.0
1047,6.0,5.0,5.0,1.0,0.0,3.0
1051,34.0,37.0,35.0,33.0,41.0,41.0
1052,12.0,17.0,21.0,31.0,43.0,57.0
1053,17.0,20.0,25.0,36.0,53.0,56.0
1054,43.0,55.0,60.0,83.0,114.0,139.0
1055,11.0,14.0,21.0,29.0,55.0,66.0
1056,8.0,9.0,13.0,33.0,52.0,62.0
1057,9.0,14.0,16.0,34.0,53.0,56.0
1058,22.0,25.0,31.0,46.0,71.0,85.0
1059,30.0,32.0,31.0,37.0,46.0,49.0
1060,20.0,23.0,29.0,79.0,87.0,164.0
1061,1.0,3.0,14.0,31.0,47.0,55.0
1062,23.0,25.0,29.0,41.0,52.0,66.0
1063,7.0,10.0,11.0,26.0,44.0,43.0
1064,13.0,15.0,18.0,35.0,57.0,72.0
1065,5.0,5.0,11.0,20.0,33.0,36.0
1066,49.0,50.0,56.0,71.0,109.0,134.0
1067,24.0,25.0,41.0,70.0,90.0,122.0
1068,11.0,12.0,17.0,38.0,70.0,83.0
1069,39.0,43.0,55.0,93.0,126.0,171.0
1070,,,,,,
1071,93.0,90.0,104.0,138.0,208.0,267.0
1072,21.0,20.0,25.0,39.0,60.0,67.0
1073,8.0,12.0,17.0,27.0,44.0,50.0
1074,12.0,14.0,15.0,24.0,38.0,51.0
1075,59.0,58.0,64.0,74.0,113.0,143.0
1076,38.0,43.0,46.0,58.0,77.0,97.0
1077,131.0,125.0,147.0,152.0,229.0,280.0
1078,22.0,30.0,39.0,74.0,108.0,125.0
1079,19.0,20.0,28.0,37.0,65.0,76.0
1080,,,,,,
1081,36.0,42.0,38.0,48.0,60.0,84.0
1082,130.0,128.0,117.0,102.0,129.0,146.0
1083,38.0,38.0,31.0,38.0,57.0,114.0
1086,11.0,14.0,13.0,23.0,33.0,52.0
1087,60.0,69.0,86.0,123.0,183.0,223.0
1090,,,,,,
1091,22.0,26.0,30.0,40.0,49.0,55.0
1092,10.0,13.0,13.0,16.0,28.0,32.0
1093,6.0,11.0,15.0,19.0,24.0,28.0
1094,11.0,10.0,8.0,12.0,14.0,25.0
1095,9.0,14.0,21.0,25.0,51.0,60.0
1096,61.0,52.0,38.0,40.0,49.0,61.0
1097,20.0,16.0,21.0,33.0,41.0,55.0
1098,32.0,31.0,35.0,56.0,82.0,92.0
1100,,,,,,1.0
1101,130.0,94.0,71.0,92.0,155.0,219.0
1102,239.0,270.0,307.0,327.0,363.0,451.0
1103,13.0,17.0,20.0,29.0,49.0,55.0
1104,4.0,6.0,12.0,28.0,45.0,45.0
1105,5.0,4.0,5.0,9.0,22.0,41.0
1106,9.0,11.0,15.0,30.0,36.0,46.0
1107,1.0,3.0,4.0,15.0,22.0,28.0
1108,0.0,1.0,5.0,10.0,9.0,13.0
1109,5.0,4.0,8.0,10.0,16.0,21.0
